media,date,title,article_original,url
조선일보,2020-01-27,방탄소년단 한국 가수 최초 그래미 공연 내년엔 후보 도전, 그룹 방탄소년단BTS이 26일현지 시각 한국 가수 최초로 미국 그래미 시싱식에서 공연했다. 방탄소년단은 이날 미국 로스앤젤레스LA 스테이플스 센터에서 열린 제62회 그래미 시상식 2부에서 래퍼 릴 나스 엑스 컨트리 가수 빌레 레이 사이러스와 함께 올드 타운 로드 올스타즈Old Town Road AllStars 무대를 선보였다. 릴 나스 엑스가 먼저 자신의 히트곡 올드 타운 로드를 부르기 시작했다. 회전식 무대가 움직이며 서울을 연상케하는 배경이 펼쳐지자 방탄소년단이 등장해 서울 버전으로 각색한 서울 타운 로드 노래를 이어 부르기 시작했다. 이 노래는 방탄소년단 멤버 RM이 지난해 7월 올드 타운 로드에 참여해 만든 음원이다. 무대 배경에는 서울 도심의 빌딩과 BTS 방탄소년단의 팬클럽 아미 등의 글자가 찍힌 모습이 보여 미국 내 방탄소년단의 인기를 실감케했다. 무대 마지막에는 빌리 레이 사이러스 메이슨 램지 디플로 등이 방탄소년단과 함께 올드 타운 로드 후렴구를 부르며 무대를 달궜다. 이번 공연으로 방탄소년단은 2년 연속 그래미 시상식에 참석하게 됐다. 방탄소년단은 지난해 최우수 RB 앨범 부문 시상자로 그래미 시상식 무대에 올랐다. 당시 방탄소년단은 이곳에 다시 서겠다며 그래미상 도전 의지를 보였으나 올해 후보에는 오르지 못했다. 방탄소년단은 이날 레드카펫 행사에서 내년 그래미 시상식 후보에 오르는 것이 목표라고 포부를 밝혔다. 그래미상은 세계 최고 권위의 대중음악 시상식이다. 방탄소년단은 그래미와 함께 미국 3대 대중음악 시상식으로 통하는 빌보드 뮤직 어워즈와 아메리칸 뮤직 어워즈에서 수상한 바 있다. 올해 그래미 시상식에서는 영국의 10대 여성 가수 빌리 아일리시가 올해의 레코드 앨범 노래 부문과 신인상까지 4개 부문을 수상하며 주인공으로 우뚝 섰다. 빌리 아일리시는 지난해 히트곡 배드 가이로 세계적인 인기를 얻었다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=023&aid=0003503186
경향신문,2020-02-28,BTS 월드투어 4월 서울 콘서트 취소 코로나19 확산 비상, 일부 팬들 환불받아 성금 기탁  트와이스 등 공연 취소 잇따라 코로나19의 확산으로 오는 4월 예정됐던 그룹 방탄소년단BTS의 월드투어 서울 콘서트가 취소됐다. 소속사 빅히트엔터테인먼트는 28일 팬 커뮤니티 BTS 위버스를 통해 4월11일 12일 18일 19일 서울 잠실종합운동장 주경기장에서 진행 예정이던 BTS 맵 오브 더 솔 투어서울 공연이 취소됐다고 알렸다. 글로벌 공연 회사와 세계 각지 스태프가 참여하는 이 공연은 방탄소년단 새 월드투어의 첫 일정으로 총관객 20만명이 관람할 예정이었다. 빅히트 측은 코로나19의 전 세계적인 확산으로 현재 4월 공연 시점의 감염병 확산 상황이 예측 불가능하고 공연 인력과 장비 등 국가 간 이동의 불확실성도 높아지고 있다면서 20만 관람객과 아티스트의 건강과 안전을 고려하고 만에 하나 공연일에 임박해 취소해야 할 경우 해외 관람객 및 공연 관련 업체 스태프들의 피해가 커질 수 있어 불가피하게 공연 일정을 1개월여 앞둔 지금 시점에 취소를 결정했다고 설명했다. 이어 코로나19 확산 방지를 위한 정부의 집단행사 자제 지침과 지자체의 문화체육시설 관련 조치에 적극 협조하는 차원에서 깊은 고민 끝에 내린 조치라고 덧붙였다. 해당 콘서트 입장권은 전석 매진된 상태다. 빅히트 측은 기존에 예매한 티켓을 공식 예매처인 인터파크를 통해 순차적으로 전액 환불 처리할 예정이다. 높은 경쟁률을 뚫고 예매에 성공한 팬들 사이에서 취소가 아닌 연기를 원한다는 목소리가 커지는 가운데 환불받는 티켓 가격만큼 감염병 확산 방지를 위한 성금을 기탁하는 기부 릴레이에 나서는 팬들도 등장했다. 오는 5월부터 미국 캐나다 일본 영국 독일 스페인 등에서 열릴 공연의 취소 여부는 결정되지 않았다. 코로나19의 확산으로 공연계 한파는 당분간 계속될 것으로 보인다. 그룹 트와이스TWICE도 다음달 초 서울 올림픽체조경기장에서 개최하려던 월드투어 피날레 공연을 취소했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=032&aid=0002994845
조선일보,2020-03-16,방탄소년단 빌보드 200 8위3주 연속 10위권, 그룹 방탄소년단BTS이 미국 빌보드 메인 앨범 차트인 빌보드 200에서 8위를 차지하며 3주 연속 10위권에 들었다. 빌보드는 15일현지시각 예고 기사를 통해 방탄소년단 정규 4집 맵 오브 더 솔 7Map of the Soul 7이 발매 3주 차 5만 장 상당 판매량으로 빌보드 200 최신 차트 8위를 기록했다고 밝혔다. 앞서 방탄소년단은 맵 오브 더 솔 7 발매 첫 주 42만2천 장 상당 앨범 판매고를 내며 역대 네 번째로 빌보드 200 1위에 올랐고 2주 차에는 3위를 기록했다. 빌보드는 전통적인 음반 판매량에다 스트리밍 횟수와 디지털음원 다운로드 횟수를 앨범 판매량으로 각각 환산한 수치를 합산해 빌보드 200 순위를 산정한다. 맵 오브 더 솔 7은 지난달 21일 발매 이후 9일 만에 411만4843장이 판매되며가온차트 기준 한국 가수 최다 기록을 세웠다. 빌보드뿐 아니라 영국 오피셜 앨범 차트 일본 오리콘 주간 앨범 차트 등 세계 각국 앨범 차트 정상을 휩쓸었다. 한편 빌보드 200 최신 차트 1위는 미국 래퍼 릴 우지 버트의 이터널 어테이크에 돌아갔다. 이번 순위가 포함된 빌보드 200 최신 차트는 현지시간 17일 빌보드 웹사이트에 공개된다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=023&aid=0003515133
경향신문,2020-04-09,방탄소년단 음반 누적판매 2032만장한국 가요 최다 기록, 그룹 방탄소년단사진이 앨범 누적 판매량 2000만장을 넘기면서 한국 가요 역사상 가장 많은 음반을 판 가수로 이름을 올렸다. 9일 소속사 빅히트엔터테인먼트는 이날 발표된 가온차트 3월 앨범차트 기준으로 방탄소년단의 앨범 누적 판매량이 총 2032만장을 넘겼다고 발표했다. 이는 한국 가요계 사상 최다 음반 판매량이다. 종전까지 가수 신승훈이 1700만장으로 최다 기록을 보유하고 있었다. 방탄소년단은 2013년 데뷔 앨범 투 쿨 포 스쿨2 COOL 4 SKOOL부터 지난 2월 발매한 맵 오브 더 솔 7MAP OF THE SOUL 7까지 총 14개 앨범을 통해 2032만9305장의 누적 판매량을 기록했다. 특히 맵 오브 더 솔 7은 417만9000장 판매되며 가온 차트 인증 역사상 최초로 쿼드러플 밀리언Quadruple Million 인증을 받았다. 앞서 맵 오브 더 솔 페르소나 377만장 러브 유어셀프 결 앤서 259만장 러브 유어셀프 전 티어 221만장 러브 유어셀프 승 허 222만장 윙스 외전 유 네버 워크 얼론 102만장 윙스 113만장 등 최근 발매한 7개 앨범은 연속 밀리언셀러에 올랐다. 방탄소년단이 앨범 누적 판매량 1000만장을 돌파한 것은 2018년 11월이다. 이후 1년3개월 만인 지난 2월 종전 기록에 1000만장을 더해 2000만장의 선을 넘어섰다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=032&aid=0003002879
조선일보,2020-05-18,이태원 아이돌 BTS 정국 아스트로 차은우 NCT 재현 세븐틴 민규였다, 최근 소문으로만 떠돌던 이태원발 코로나 집단 감염 기간 이태원 방문 아이돌이 그룹 방탄소년단BTS 정국 아스트로 차은우 NCT 재현 세븐틴 민규 등 일명 97모임이라는 보도가 나왔다. 18일 디스패치에 따르면 97모임의 주축인 정국차은우재현민규는 황금 연휴 직전인 지난 4월 25일 저녁부터 다음날인 26일 새벽까지 이태원 음식점과 유흥시설 2곳을 돌아 다녔다고 보도했다. 이들은 모두 코로나 진단 검사 결과 음성이 나왔다고 전해졌다. 그러나 잠복기를 고려해 최소 2주간 조심해야한다. 그러나 소속 그룹 아스트로 컴백 활동을 시작한 차은우는 지난 7일 컬투쇼와 히든트랙에 출연했고 8일과 9일에는 각각 뮤직뱅크와 음악중심에 나갔다. NCT 소속 재현은 인기가요 MC 활동을 이어나가고 지난달 26일지난 3일과 10일 생방송을 소화했다. 정국과 민규는 공식 외부 스케줄은 없었다 한다. 정국이 속한 BTS 소속사 빅히트엔터테인먼트 측은 이날 입장문을 내고 정국이 이태원에 방문했다는 것은 사실이라며 현재 아티스트 본인도 사회적 거리두기에 대한 전 사회적 노력에 충실히 동참하지 않은 점을 깊이 반성하고 있다고 밝혔다. 그러나 방문 당시 5월 초 확진자 발생으로 문제가 된 장소에는 가지 않았고 첫 확진자가 이태원에 간 날짜보다 약 1주일 전이었다며 정부 지침에 따라 자발적으로 코로나19 검사를 받는 등의 조치를 취했기 때문에 당사는 아티스트의 개인적인 일상을 대외적으로 공개하는 것이 적절하지 않다고 판단했다고 했다. 아직 다른 소속사들은 입장을 밝히지 않고 있다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=023&aid=0003532004
경향신문,2020-06-08,BTS 유튜브 주최 가상 졸업식 디어 클래스 오브 2020 축사 꽃다발은 없어도 가장 특별한 날우리가 위로와 희망이 되고 싶다, 그룹 방탄소년단BTS이 코로나19 확산으로 오프라인 졸업식에 가지 못하는 졸업생들을 위해 축사를 했다. BTS의 리더 RM은 2020년은 참 많은 일들이 있었지만 그래도 여러분들은 해냈다며 비록 꽃다발과 학사모는 없지만 오늘은 역사상 가장 특별한 졸업식이 될 것이라고 말했다. BTS는 한국시간으로 8일 오전 4시 유튜브로 중계된 가상 졸업식 디어 클래스 오브 2020Dear Class of 2020에 참석했다. 디어 클래스 오브 2020은 코로나19 여파로 오프라인 졸업식에 가지 못하는 졸업생들을 위해 유튜브가 주최한 온라인 졸업식이다. BTS는 국내 인사 중 유일하게 연사로 나서 12분가량 영상을 통해 축사했다. 해당 영상은 서울 용산구 국립중앙박물관에서 촬영됐다. RM은 대한민국 서울에서 온 여러분과 같은 20대 청춘으로서 축하의 말씀을 전한다며 저와 저희 멤버들이 하는 얘기가 어떤 식으로든 위로와 희망이 되고 영감이 되면 좋겠다고 말했다. 또 중학교 시절 눈 내리는 졸업식 때 찍은 사진을 학창 시절 내내 메신저 메인사진으로 걸어뒀다며 그때의 두려움과 벅찬 마음이야말로 나 자신의 진짜 모습이었기 때문에 항상 그런 마음으로 살고 싶었기 때문이 아닐까 한다고 말했다. 진은 고등학교 졸업식 때 막 대학 입학을 앞둔 평범한 스무살이었다고 회상하며 낯선 세상으로 나아가는 것이 두려웠다고 고백했다. 그는 때로는 앞서가는 친구들이 신경 쓰이고 조급한 마음이 들기도 했지만 걸음이 느린 대신 남들보다 시간을 조금 더 들이는 습관을 갖게 됐다. 춤 연습을 하더라도 멤버들보다 며칠 앞서 준비를 시작한다고 말했다. 지민은 모두 잘 지내고 있으면 좋겠지만 조금이라도 괜찮지 않다면 온 마음 다해 위로해주고 싶다며 여기 한국이라는 나라 서울이라는 도시에 나를 이해해주는 사람이 있다는 걸 꼭 기억해주면 좋겠다고 말했다. 뷔는 졸업을 앞두고 무얼 해야 하는지 잘 보이지 않는 분이 있다면 자신의 진심에 기대 보라며 지금은 조금 힘들어도 그 끝자락 어딘가에 기회와 행운이 기다리고 있지 않을까 생각한다고 말했다. RM은 축사 말미에 최근 우리도 중요한 계획들이 물거품이 되면서 혼란한 시간을 겪었고 그 불안감과 상실감은 아직 저희 마음 어딘가에 남아 있다며 사랑하는 사람들을 생각하면서 다시 마음을 추스르고 새로운 음악 작업에 몰두하고 있다고 전했다. 행사에는 버락 오바마 전 미국 대통령 부부 순다르 피차이 구글 최고경영자CEO 최연소 노벨평화상 수상자인 말랄라 유사프자이 팝스타 비욘세 등 다양한 인사들이 연사로 참여했다. 저스틴 팀버레이크 션 멘데스 테일러 스위프트 제니퍼 로페즈 등도 스페셜 게스트로 짤막한 축하 메시지를 전달했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=032&aid=0003013735
경향신문,2020-07-23,BTS 75만명 본 방방콘 더 라이브로 기네스 세계기록 추가, 방탄소년단의 온라인 콘서트 방방콘 더 라이브이하 방방콘가 세계에서 가장 많은 시청자를 모은 라이브 스트리밍 콘서트로 기네스 세계기록에 올랐다. 기네스 세계기록은 22일현지시간 홈페이지를 통해 방탄소년단이 가장 많은 시청자가 본 라이브 스트리밍 음악 콘서트로 새로운 기네스 세계기록을 달성했다고 발표했다. 지난달 14일 열린 방방콘은 방탄소년단이 온라인 생중계로 펼친 첫 유료 콘서트다. 약 100분간 멤버들이 12곡 무대를 펼치는 모습이 유튜브를 통해 전 세계에 생중계 됐고 총 107개 지역에서 최대 75만6000여명의 유료 관객이 동시 접속한 것으로 집계됐다. 5만명 이상을 수용할 수 있는 스타디움 공연 15회와 맞먹는 수치다. 기네스 세계기록은 이같은 소식을 전하며 방탄소년단은 미국 앨범차트 1위를 한 첫 K팝 가수 한국 최다 앨범 판매량 트위터 최다 활동평균 리트윗수 최단 시간 틱톡 팔로워 100만명 돌파 등 다수의 기네스 기록을 보유하고 있다고 밝혔다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=032&aid=0003022559
경향신문,2020-08-30,방탄소년단 신곡 영국 오피셜 차트 3위, 그룹 방탄소년단BTS사진의 신곡 다이너마이트Dynamite가 세계 양대 팝 차트 중 하나인 영국 오피셜 차트에 3위로 진입했다. 방탄소년단 자체 신기록이다. 방탄소년단은 영국 MTV가 투표로 뽑는 가장 핫Hot한 슈퍼스타에 2년 연속 선정됐다. 영국 MTV는 29일이하 현지시간 공식 홈페이지와 사회관계망서비스SNS 채널을 통해 올해 MTV 핫티스트 서머 슈퍼스타에 방탄소년단이 선정됐다고 밝혔다. MTV 핫티스트 서머 슈퍼스타는 영국 MTV가 2013년부터 매년 여름 온라인 투표를 통해 최고의 슈퍼스타를 선정하는 이벤트다. 올해 투표에서 방탄소년단은 3320만표를 받아 1위에 올랐고 블랙핑크가 324만표를 얻어 2위를 차지했다. 영국 오피셜 차트는 28일 다이너마이트가 발매 첫 주 530만건의 스트리밍과 2만2000건의 다운로드를 기록하며 최신 싱글 차트에 3위로 데뷔했다고 밝혔다. 방탄소년단이 오피셜 차트의 싱글 순위에서 10위권 안에 든 것은 이번이 처음이다. 앨범 순위에서는 지난해 맵 오브 더 솔 페르소나 앨범과 올해 맵 오브 더 솔 7 앨범으로 두 차례 1위를 차지한 바 있다. 오피셜 차트는 미국 빌보드와 함께 세계 대중가요계의 양대 팝 차트로 꼽히며 싱글 차트의 경우 음반 판매와 음원 다운로드 스트리밍 등을 토대로 순위를 낸다. 방탄소년단은 오피셜 차트에 싱글 차트에서 자체 최고 기록을 세우게 돼 영광이라며 무엇보다 모든 공을 아미방탄소년단 팬에게 돌린다. 그들이 처음부터 우리에게 보내준 지지와 사랑이 없었다면 여기까지 오지 못했을 것이라고 밝혔다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=032&aid=0003029595
경향신문,2020-09-29,3주 만에 다시 빌보드 정상에 선 방탄소년단, 그룹 방탄소년단BTS사진의 다이너마이트가 3주 만에 미국 빌보드 메인 싱글 차트인 핫 100 1위를 다시 차지했다. 기존 곡 외에 리믹스 버전 등을 지속적으로 발매한 전략이 주효했다. 다이너마이트는 28일현지시간 10위까지만 공개된 이번 주 핫 100 최신 차트에서 1위로 다시 올라섰다. 다이너마이트는 핫 100 외에도 빌보드 글로벌 200Billboard Global 200과 빌보드 글로벌미국 제외Billboard Global Excl. US 차트에서도 모두 정상에 올랐다. 지난달 21일 발매된 다이너마이트는 음원이 공개되자마자 2주 연속으로 핫 100 1위를 차지했다. 이후 2주간 2위를 기록한 뒤 음원 발매 5주차인 이번 주 다시 1위로 복귀했다. 핫 100은 매주 미국에서 가장 인기 있는 노래 순위를 집계하는 차트로 스트리밍 실적과 음원 판매량 라디오 방송 횟수 등을 종합해 순위를 낸다. 빌보드에 따르면 듀오 또는 그룹 노래가 핫 100에서 통산 3주 이상 1위를 기록한 것은 2018년 911월 7주간 정상을 차지한 마룬5의 걸스 라이크 유 이후 처음이다. 다이너마이트는 발매 5주차9월1824일 집계에 미국 내 다운로드음원 판매 스트리밍 라디오 방송 횟수가 모두 증가했다. 다운로드의 경우 15만3000건을 기록해 전주보다 96 증가했다. 빌보드는 지난 18일 다이너마이트 리믹스 버전 4종베드룸미드나잇레트로슬로우잼이 추가 발매된 것이 영향을 미쳤다고 분석했다. 새로 발매된 리믹스 버전은 이번 집계 기간 다이너마이트 전체 판매량의 52를 차지했다. 방탄소년단은 앞서 다이너마이트 원곡 발표 이후 인스트루멘털 버전 어쿠스틱일렉트로닉 댄스 뮤직EDM트로피컬풀사이드 리믹스도 공개하는 등 다양한 변주를 계속하고 있다. 다이너마이트는 판매량을 집계하는 디지털 송 세일즈 차트에서도 5주 연속 1위를 차지했다. 이 같은 기록은 지난해 910월 리조의 트루스 허츠 이후 처음이다. 스트리밍은 전주보다 11 늘어난 1400만회를 기록했으며 라디오 방송에서도 8 증가한 2080만명의 청취자에게 노출된 것으로 집계됐다. 모든 장르의 라디오 방송 횟수를 집계하는 라디오 차트 라디오 송즈에서는 지난주보다 다섯 계단 상승한 42위를 기록했다. 방탄소년단은 사회관계망서비스를 통해 아미 여러분 덕분에 또 한 번의 기적이 일어났습니다. BTSDynamite에 꾸준한 사랑 보내주시는 전 세계 아미 여러분 정말 감사합니다라고 인사를 전했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=032&aid=0003035121
경향신문,2020-10-13,병무청 대중문화우수자 병역 연기 입법 추진확정시 BTS 연기 가능, 병무청이 13일 대중문화예술 분야 우수자의 병역 징집소집 연기 등을 담은 병역법 개정안을 정부 입법으로 추진 중이라고 밝혔다. 입법이 확정돼 시행되면 한국 가수 최초로 빌보드 메인 싱글차트 1위에 오른 방탄소년단BTS 등의 병역도 연기가 가능해질 것으로 보인다. 병무청은 이날 국회 국방위원회 국정감사 업무보고 자료를 통해 대중문화예술 분야 우수자의 징소집 연기 등을 골자로 하는 병역법 개정을 추진 중이라고 밝혔다. 병무청은 전용기 더불어민주당 의원이 대표 발의안 병역법 개정안에 대해 긍정적으로 검토한다는 의견을 국회에 제출할 것으로 알려졌다. 앞서 전 의원은 지난달 문화체육관광부 장관이 국가 위상과 품격을 높였다고 인정해 추천한 대중문화예술 분야 우수자도 징집 소집 연기가 가능하도록 하는 내용으로 병역법 개정안을 대표 발의한 바 있다. 이에 병무청은 문화체육부 장관 추천자에 대해 연기하되 품위를 손상한 자에 대해서는 연기 취소한다는 정부안을 마련할 것이라며 대중문화예술 활동 보장으로 국가 이미지를 제고하자는 취지라고 설명했다. 병역법 개정안이 확정되면 BTS 멤버들에 대한 병역특례는 인정되지 않지만 징집 및 소집 연기는 가능할 전망이다. 지난 7일 서욱 국방부 장관도 국방위 국감에서 여러 가지 사회적 공감대가 형성돼야 하는데 현재 판단으로는 병역 특례를 고려하고 있지 않다면서 활동 기간들을 고려해서 연기 정도는 검토를 같이해나가는 것도 의미가 있다고 판단하고 있다고 답했다. 다만 병무청은 대중문화예술 분야 예술 요원의 병역 특례 편입을 제외한다는 방침은 계속 유지하고 있다. 앞서 정부는 지난해 11월 국무총리실 주관으로 국정현안점검조정회의를 열고 대중문화 예술 분야의 예술 요원 편입은 대체복무 감축 기조 병역의무 이행의 공정성형평성을 제고하려는 정부의 기본 입장과 맞지 않아 제외하기로 결정한 바 있다. 현행 병역법령에 따르면 올림픽 3위 이상 입상자 아시안게임 1위 입상자 국제예술경연대회 2위 이상 입상자 국내예술경연대회 1위 입상자 등에 한 해서 예술체육요원보충역으로 편입하도록 했다. 예술 요원 편입이 인정되는 국내외 경연대회는 병무청 훈령으로 정해져 있다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003037095
